license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1490864,SUSHI SAMBA,,Restaurant,1,504 N WELLS ST ,CHICAGO,IL,60610,41.89095521,-87.63420044,42
1490913,THE PASTA BOWL COMPANY,,Restaurant,1,2434-2436 N CLARK ST ,CHICAGO,IL,60614,41.92645332,-87.64116965,43
1490933,PUDGY'S INC,,,3,4835 N WESTERN AVE ,CHICAGO,IL,60625,41.96969326,-87.68879319,47
1490939,HARMONY HEALTH,,,2,469 W 31ST ST ,CHICAGO,IL,60616,41.83803161,-87.63882627,11
1490961,MI PUEBLO,,,3,2113 W TOUHY AVE ,CHICAGO,IL,60645,42.0121001,-87.68355621,50
1490969,BRIOSO,,,1,4603 N LINCOLN AVE ,CHICAGO,IL,60625,41.9650523,-87.6860492,47
1490998,HAROLD'S CHICKEN SHACK #52,,Restaurant,2,7158 S WESTERN AVE ,CHICAGO,IL,60636,41.7629663,-87.68334058,18
1491022,HOE TOY RESTAURANT,,Restaurant,1,8559 S STONY ISLAND AVE ,CHICAGO,IL,60617,41.73878213,-87.58510297,8
1491074,HARRY AND DAVID,,,3,835 N MICHIGAN AVE ,CHICAGO,IL,60611,41.89774086,-87.62396132,2
1491118,LEON'S FAMOUS RIBS,,,1,2418 N ASHLAND AVE ,CHICAGO,IL,60614,41.92575784,-87.66831374,32
1491124,LITTLE ELITE CHILD CARE,,Daycare Combo 1586,1,8748 S ABERDEEN ST ,CHICAGO,IL,60620,41.73446701,-87.65102422,21
1491228,DIVERSEY & RACINE SHELL,,Grocery Store,3,1160 W DIVERSEY PKWY ,CHICAGO,IL,60614,41.93267442,-87.65822869,44
1491261,CLYBAR,RED FLAME PIZZERIA,Restaurant,1,2417 N CLYBOURN AVE ,CHICAGO,IL,60614,41.9256713,-87.66984157,32
1491310,THE NORTHERN TRUST CHILD DEVELOPMENT CENTER,,Daycare Combo 1586,1,801 S CANAL ST ,CHICAGO,IL,60607,41.87199613,-87.63920429,25
1491345,LITTLE LEADERS OF TOMORROW,,Daycare (2 - 6 Years),1,5153 W LAKE ST ,CHICAGO,IL,60644,41.88706805,-87.75500577,28
1491355,JIMMY JOHN'S GOURMET SUBS,,Restaurant,2,1148 W WILSON AVE ,CHICAGO,IL,60640,41.9654799,-87.65950777,46
